Program,Tissue_Type,Image_Name,Vessel_Length,Vessel_Area,Mean_Diameter,Num_BranchPoints,Sensitivity,Specificity,Accuracy,umppix,pix_dim
Manual,heart,heart_60x_1.tif,10291,204497,18.60429382,18,1,1,1,0.207194025,1024
Manual,heart,heart_60x_2.tif,15165.33333,359330,22.09505081,76,1,1,1,0.207194025,1024
Manual,heart,heart_60x_3.tif,16024,372191,21.24045372,64,1,1,1,0.207194025,1024
Manual,heart,heart_60x_4.tif,11746,265580,18.65909386,35,1,1,1,0.207194025,1024
Manual,heart,heart_60x_5.tif,15390,315092,17.14229774,76,1,1,1,0.207194025,1024
Manual,heart,heart_60x_6.tif,14483,414468,25.65187645,61,1,1,1,0.207194025,1024
Manual,ing_fat,ing_fat_20x_1.tif,8900,164037.9725,17.15866852,50,1,1,1,0.310791038,1024
Manual,ing_fat,ing_fat_20x_2.tif,10628,181860.8078,16.40654182,46,1,1,1,0.310791038,1024
Manual,ing_fat,ing_fat_20x_3.tif,10838,154986,13.17403221,67,1,1,1,0.310791038,1024
Manual,ing_fat,ing_fat_60x_1.tif,3095,70542.70588,21.6111927,5,1,1,1,0.207194025,1024
Manual,ing_fat,ing_fat_60x_2.tif,3865,73129.21961,20.66677284,20,1,1,1,0.207194025,1024
Manual,ing_fat,ing_fat_60x_3.tif,3116,70000,20.01833725,6,1,1,1,0.207194025,1024
Manual,liver,liver_60x_1.tif,11025,425080,35.22782135,45,1,1,1,0.207194025,1024
Manual,liver,liver_60x_2.tif,14751,457652,29.73076439,79,1,1,1,0.207194025,1024
Manual,liver,liver_60x_3.tif,13531,471834,32.19332886,71,1,1,1,0.207194025,1024
Manual,liver,liver_60x_4.tif,12815,505569,37.0375061,83,1,1,1,0.207194025,1024
Manual,liver,liver_60x_5.tif,11362,532297,43.68284988,58,1,1,1,0.207194025,1024
Manual,liver,liver_60x_6.tif,13305,552589,41.04128265,87,1,1,1,0.207194025,1024
Manual,periton_cav,periton_cav_20x_1.tif,9881,187667.8549,17.54093552,37,1,1,1,0.310791038,1024
Manual,periton_cav,periton_cav_20x_2.tif,12380,195232.8196,15.05529594,8,1,1,1,0.310791038,1024
Manual,periton_cav,periton_cav_20x_3.tif,13562,204922,14.385499,40,1,1,1,0.310791038,1024
Manual,periton_cav,periton_cav_60x_1.tif,7446,152488.7098,19.56638718,19,1,1,1,0.207194025,1024
Manual,periton_cav,periton_cav_60x_2.tif,11880,237245.1569,19.47893524,18,1,1,1,0.207194025,1024
Manual,periton_cav,periton_cav_60x_3.tif,6848,136671,18.06595421,15,1,1,1,0.207194025,1024
Manual,retina,retina_20x_1.tif,13666,205143,13.21701431,84,1,1,1,0.310791038,1024
Manual,retina,retina_20x_2.tif,13104,191076,12.90523529,61,1,1,1,0.310791038,1024
Manual,retina,retina_20x_3.tif,9959,141707,12.97515202,38,1,1,1,0.310791038,1024
Manual,retina,retina_60x_1.tif,9670,217470,20.28612328,38,1,1,1,0.207194025,1024
Manual,retina,retina_60x_2.tif,9151,184177,17.93923187,39,1,1,1,0.207194025,1024
Manual,retina,retina_60x_3.tif,8390,179572,18.98752594,33,1,1,1,0.207194025,1024
